ID ,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
12639,2022,MI,FT,Data Scientist,115000,CHF,122346,CH,0,CH,L
12640,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
12641,2022,MI,FT,Data Scientist,88000,CAD,69336,CA,100,CA,M
12642,2022,EN,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M
12643,2022,MI,FT,Data Analyst,20000,USD,20000,GR,100,GR,S
12644,2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
12645,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
12646,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
12647,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
12648,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
12649,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
12650,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
12651,2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M
12652,2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
12653,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
12654,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
12655,2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M
12656,2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
12657,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
12658,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
12659,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
12660,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
12661,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
12662,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
12663,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
12664,2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M
12665,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
12666,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
12667,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
12668,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
12669,2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M
12670,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
12671,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
12672,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
12673,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
12674,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
12675,2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M
12676,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
12677,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
12678,2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
12679,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
12680,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
12681,2022,SE,FT,Analytics Engineer,205300,USD,205300,US,0,US,M
